,x,y,z,dx,dy,dz,dt
0,0,0,0,0.0,0.0,0,0.010288000106811523
1,0,0,0,0.0,0.0,0,0.010076045989990234
2,0,0,0,0.0,0.0,0,0.010127544403076172
3,0,0,0,0.0,0.0,0,0.010049819946289062
4,0,0,0,0.0,0.0,0,0.010064840316772461
5,0,0,0,0.0,0.0,0,0.010060548782348633
6,0,0,0,0.0,0.0,0,0.010061979293823242
7,0,0,0,0.0,0.0,0,0.010039567947387695
8,0,0,0,0.0,0.0,0,0.010352134704589844
9,0,0,0,0.0,0.0,0,0.010045051574707031
10,0,0,0,0.0,0.0,0,0.010207176208496094
11,0,0,0,0.0,0.0,0,0.010043621063232422
12,0,0,0,0.0,0.0,0,0.010394096374511719
13,0,0,0,0.0,0.0,0,0.010055065155029297
14,0,0,0,0.0,0.0,0,0.01002812385559082
15,0,0,0,0.0,0.0,0,0.010046005249023438
16,0,0,0,0.0,0.0,0,0.010027647018432617
17,0,0,0,0.0,0.0,0,0.010041475296020508
18,0,0,0,0.0,0.0,0,0.010046720504760742
19,0,0,0,0.0,0.0,0,0.010032892227172852
20,0,0,0,0.0,0.0,0,0.010049581527709961
21,0,0,0,0.0,0.0,0,0.010043859481811523
22,0,0,0,0.0,0.0,0,0.01005864143371582
23,0,0,0,0.0,0.0,0,0.010045766830444336
24,0,0,0,0.0,0.0,0,0.010078907012939453
25,0,0,0,0.0,0.0,0,0.010133743286132812
26,0,0,0,0.0,0.0,0,0.010312795639038086
27,0,5,0,0.0,719.3112673640885,0,0.006825923919677734
28,2,14,0,247.33482722019107,1113.0067224908598,0,0.007993459701538086
29,5,28,0,366.4961407392305,1710.3153234497422,0,0.008096456527709961
30,9,46,0,510.56652465003043,2297.549360925137,0,0.00774836540222168
31,13,63,0,493.0270063769138,2095.3647771018836,0,0.008026599884033203
32,16,82,0,363.4368898388308,2301.766968979262,0,0.008162260055541992
33,19,101,0,371.4403117251151,2352.455307592396,0,0.007988452911376953
34,22,121,0,371.24305186758716,2474.9536791172477,0,0.007996559143066406
35,25,140,0,370.5542892481668,2346.8438319050565,0,0.00801229476928711
36,29,159,0,492.54935118313665,2339.609418119899,0,0.008034229278564453
37,33,178,0,493.30244045868864,2343.1865921787708,0,0.008025169372558594
38,37,197,0,494.1160393473523,2347.0511868999233,0,0.008010387420654297
39,41,216,0,475.3560378534595,2257.9411798039328,0,0.008332490921020508
40,46,236,0,617.754212324732,2471.016849298928,0,0.008009672164916992
41,50,254,0,495.9418250613379,2231.7382127760206,0,0.007980108261108398
42,55,273,0,614.5140211562692,2335.153280393823,0,0.008054256439208984
43,60,290,0,617.8998232174425,2100.859398939305,0,0.008008480072021484
44,65,306,0,607.5531606697955,1944.1701141433455,0,0.008146047592163086
45,70,322,0,617.9908648887579,1977.5707676440254,0,0.007998466491699219
46,75,335,0,635.7317812537892,1652.9026312598521,0,0.007781505584716797
47,79,347,0,493.72343368352904,1481.170301050587,0,0.008013010025024414
48,84,359,0,592.5162456913602,1422.0389896592642,0,0.008352518081665039
49,88,368,0,493.6362726925001,1110.6816135581253,0,0.008018732070922852
50,91,376,0,370.48882607543504,987.9702028678267,0,0.008014678955078125
51,95,383,0,496.3526522883938,868.6171415046892,0,0.00797581672668457
52,97,387,0,246.02909432191458,492.05818864382917,0,0.00804448127746582
53,99,390,0,247.45156342182892,371.17734513274337,0,0.007999181747436523
54,100,391,0,118.46643129501483,118.46643129501483,0,0.008358478546142578
55,100,391,0,0.0,0.0,0,0.01004934310913086
56,100,390,0,0.0,-166.37461324871083,0,0.005929470062255859
57,100,386,0,0.0,-495.5609511150495,0,0.007989645004272461
58,98,381,0,-247.9269395596276,-619.817348899069,0,0.007985591888427734
59,96,373,0,-247.4953679117248,-989.9814716468992,0,0.007990121841430664
60,93,365,0,-369.71593112769585,-985.9091496738556,0,0.00803232192993164
61,90,354,0,-369.944197806721,-1356.4620586246435,0,0.00802469253540039
62,87,342,0,-372.5069421830131,-1490.0277687320524,0,0.007970094680786133
63,84,328,0,-371.4732087503321,-1733.5416408348833,0,0.007990360260009766
64,80,312,0,-493.6507973871594,-1974.6031895486376,0,0.008020401000976562
65,76,295,0,-493.20092894729106,-2096.103948025987,0,0.008027791976928711
66,71,276,0,-612.6112230888324,-2327.9226477375632,0,0.0080718994140625
67,66,256,0,-619.707455453444,-2478.829821813776,0,0.007981300354003906
68,62,235,0,-478.91116693308976,-2514.283626398721,0,0.008271932601928711
69,57,211,0,-631.8816475338215,-3033.031908162343,0,0.007821321487426758
70,52,186,0,-604.6976730774776,-3023.488365387388,0,0.008171796798706055
71,48,161,0,-511.9687519072322,-3199.8046994202014,0,0.00770115852355957
72,42,136,0,-742.4203911850607,-3093.418296604419,0,0.007982254028320312
73,38,111,0,-488.618825722274,-3053.8676607642124,0,0.008085012435913086
74,34,86,0,-494.5092699030271,-3090.6829368939193,0,0.00800323486328125
75,31,60,0,-358.1915796065928,-3104.327023257138,0,0.008286237716674805
76,28,33,0,-372.82702222222224,-3355.4432,0,0.007962465286254883
77,25,6,0,-371.6816919714066,-3345.1352277426595,0,0.007968902587890625
78,20,-20,0,-614.9464856464241,-3197.7217253614053,0,0.008026599884033203
79,16,-46,0,-490.676649508657,-3189.3982218062706,0,0.008082389831542969
80,12,-71,0,-493.72343368352904,-3085.7714605220563,0,0.007918357849121094
81,9,-95,0,-384.2227854285627,-3073.7822834285016,0,0.007681131362915039
82,5,-115,0,-476.8015460255208,-2384.0077301276037,0,0.008304834365844727
83,3,-131,0,-253.65450092225817,-2029.2360073780653,0,0.007685422897338867
84,2,-143,0,-120.1152381225121,-1441.3828574701452,0,0.008209228515625
85,1,-152,0,-124.26094685074362,-1118.3485216566926,0,0.007919073104858398
86,1,-158,0,0.0,-730.5240790734128,0,0.008117198944091797
87,1,-161,0,0.0,-379.8270949046124,0,0.007748126983642578
88,1,-162,0,0.0,-123.98545626533448,0,0.007884740829467773
89,1,-161,0,0.0,122.38639082606285,0,0.008034467697143555
90,2,-157,0,121.59870118574783,486.3948047429913,0,0.00810551643371582
91,4,-149,0,251.97825238052326,1007.913009522093,0,0.007800579071044922
92,5,-140,0,125.7172316638192,1131.4550849743728,0,0.00775599479675293
93,7,-129,0,246.10849347220184,1353.5967140971102,0,0.008027076721191406
94,9,-115,0,245.7048123956533,1719.9336867695733,0,0.008044719696044922
95,12,-100,0,369.20606789706875,1846.0303394853438,0,0.008037567138671875
96,14,-83,0,239.49660252383944,2035.721121452635,0,0.008257627487182617
97,17,-64,0,382.28503721707426,2421.1385690414704,0,0.007742643356323242
98,20,-44,0,369.56390977443607,2463.7593984962405,0,0.008026361465454102
99,24,-24,0,492.6216636814752,2463.108318407376,0,0.008032083511352539
100,28,-3,0,494.21792794650486,2594.6441217191505,0,0.008005380630493164
101,32,18,0,488.02187445459305,2562.1148408866134,0,0.008111953735351562
102,36,41,0,494.7717715060898,2844.9376861600167,0,0.007992029190063477
103,40,63,0,493.4475294117647,2713.961411764706,0,0.008023500442504883
104,44,85,0,491.0069361116802,2700.538148614241,0,0.008057355880737305
105,47,108,0,361.60910423312356,2772.3364657872803,0,0.008208751678466797
106,51,129,0,497.22055598364057,2610.407918914113,0,0.007939815521240234
107,55,149,0,501.441090322195,2507.205451610975,0,0.00784444808959961
108,58,168,0,371.8684280521323,2355.166710996838,0,0.007963180541992188
109,62,186,0,481.4398530762167,2166.4793388429753,0,0.008204221725463867
110,65,203,0,382.1921453087507,2165.755490082921,0,0.007741689682006836
111,69,220,0,492.9545748369278,2095.056943056943,0,0.008001089096069336
112,74,236,0,593.8753433579701,1900.4010987455044,0,0.008334875106811523
113,79,251,0,618.1730287398674,1854.519086219602,0,0.00800633430480957
114,84,264,0,618.1001503138908,1607.060390816116,0,0.007990837097167969
115,88,277,0,494.6259028862879,1607.5341843804358,0,0.00800466537475586
116,93,288,0,619.6708329639807,1363.2758325207576,0,0.007986068725585938
117,98,298,0,619.4328922495274,1238.8657844990548,0,0.007992744445800781
118,102,307,0,494.36355600082504,1112.3180010018564,0,0.008013725280761719
119,106,315,0,491.5680046879578,983.1360093759156,0,0.008048295974731445
120,110,322,0,493.22992797295313,863.152373952668,0,0.008025407791137695
121,113,329,0,355.2186997148745,828.8436326680405,0,0.008365869522094727
122,116,336,0,371.5829075982636,867.0267843959484,0,0.007992029190063477
123,118,340,0,248.03690124186872,496.07380248373744,0,0.007983922958374023
124,119,343,0,123.82074747594025,371.46224242782074,0,0.007994651794433594
125,120,345,0,125.24796942188246,250.49593884376492,0,0.007904291152954102
126,120,345,0,0.0,0.0,0,0.010083675384521484
127,120,344,0,0.0,-156.80227298216755,0,0.00627589225769043
128,119,341,0,-123.63825020634359,-370.91475061903077,0,0.008008718490600586
129,117,336,0,-246.6439681279586,-616.6099203198966,0,0.008025646209716797
130,114,329,0,-382.0412922030605,-891.4296818071412,0,0.0077664852142333984
131,111,321,0,-369.8898230348639,-986.3728614263038,0,0.008021116256713867
132,107,311,0,-475.3695067010455,-1188.4237667526138,0,0.008329153060913086
133,103,302,0,-494.1742562592047,-1111.8920765832106,0,0.00801229476928711
134,100,291,0,-371.96736431358636,-1363.8803358164835,0,0.007984399795532227
135,97,280,0,-371.089772325115,-1360.6624985254218,0,0.008000850677490234
136,93,267,0,-496.0591348570415,-1612.1921882853849,0,0.007982254028320312
137,90,252,0,-371.1882946399599,-1855.9414731997995,0,0.008001327514648438
138,86,235,0,-495.32685778394494,-2105.139145581766,0,0.007990837097167969
139,82,218,0,-493.05598495312546,-2095.487936050783,0,0.00800943374633789
140,77,199,0,-616.918279696417,-2344.2894628463846,0,0.00802302360534668
141,71,179,0,-744.2207304450687,-2480.735768150229,0,0.007982254028320312
142,66,157,0,-619.304845997106,-2724.941322387266,0,0.007993221282958984
143,60,134,0,-741.9607288165575,-2844.182793796804,0,0.008005857467651367
144,54,110,0,-713.6811298281436,-2854.7245193125746,0,0.008325576782226562
145,49,84,0,-619.7440822719348,-3222.669227814061,0,0.00798940658569336
146,43,59,0,-733.0136315973435,-3054.2234649889315,0,0.008105993270874023
147,38,34,0,-618.519436088008,-3092.59718044004,0,0.00799107551574707
148,33,10,0,-616.7187178356124,-2960.2498456109397,0,0.008012771606445312
149,28,-13,0,-617.7360157883885,-2841.585672626587,0,0.007991313934326172
150,23,-36,0,-619.9089565474432,-2851.581200118238,0,0.007982730865478516
151,19,-59,0,-496.00047302291205,-2852.0027198817443,0,0.007980108261108398
152,15,-82,0,-496.07380248373744,-2852.4243642814904,0,0.007981061935424805
153,11,-104,0,-495.7073718422219,-2726.3905451322203,0,0.007987737655639648
154,7,-125,0,-465.5811294574719,-2444.3009296517275,0,0.008536100387573242
155,3,-144,0,-514.228406792129,-2442.5849322626127,0,0.007605791091918945
156,-1,-162,0,-497.23529237426277,-2237.5588156841823,0,0.0076446533203125
157,-5,-177,0,-487.69559024446966,-1828.8584634167612,0,0.008056163787841797
158,-8,-189,0,-370.63069219440354,-1482.5227687776141,0,0.008009195327758789
159,-11,-199,0,-367.91064588754716,-1226.3688196251571,0,0.008069276809692383
160,-14,-207,0,-369.71593112769585,-985.9091496738556,0,0.00802922248840332
161,-15,-213,0,-123.74403304322172,-742.4641982593303,0,0.007997989654541016
162,-16,-218,0,-123.65283018867925,-618.2641509433962,0,0.008002996444702148
163,-17,-220,0,-123.49627535847834,-246.99255071695669,0,0.008018255233764648
164,-17,-220,0,0.0,0.0,0,0.01004481315612793
165,-17,-219,0,0.0,166.61253674425996,0,0.005921840667724609
166,-17,-216,0,0.0,368.62200087886333,0,0.00805807113647461
167,-16,-209,0,121.52471460856464,850.6730022599525,0,0.008133888244628906
168,-14,-202,0,246.10849347220184,861.3797271527064,0,0.008035898208618164
169,-12,-192,0,246.18794388683455,1230.9397194341727,0,0.008010625839233398
170,-10,-181,0,247.68536671784577,1362.2695169481517,0,0.00798940658569336
171,-7,-169,0,372.6503583486347,1490.6014333945388,0,0.007970571517944336
172,-5,-154,0,246.7890912300315,1850.918184225236,0,0.008023500442504883
173,-2,-139,0,372.08835792648665,1860.4417896324335,0,0.007981061935424805
174,0,-124,0,247.16721176227938,1853.7540882170954,0,0.007993459701538086
175,4,-108,0,475.0195645403324,1900.0782581613296,0,0.008338451385498047
176,7,-92,0,371.02411983251756,1978.795305773427,0,0.008003950119018555
177,10,-76,0,370.31437064068984,1975.009976750346,0,0.008005857467651367
178,14,-60,0,495.04915904396574,1980.196636175863,0,0.007998228073120117
179,17,-44,0,368.88135791973264,1967.3672422385741,0,0.00805211067199707
180,21,-27,0,495.8831909673987,2107.5035616114446,0,0.007986307144165039
181,24,-11,0,371.8684280521323,1983.2982829447055,0,0.007986307144165039
182,28,6,0,495.3853603803112,2105.3877816163226,0,0.007993698120117188
183,31,22,0,371.17734513274337,1979.6125073746314,0,0.008000850677490234
184,35,39,0,485.2552785330017,2062.334933765257,0,0.008161067962646484
185,39,54,0,487.936714751047,1829.7626803164262,0,0.008110284805297852
186,43,69,0,490.1605702933271,1838.1021385999766,0,0.008069038391113281
187,46,83,0,370.1509678178502,1727.3711831499677,0,0.008014917373657227
188,49,96,0,381.5084591595416,1653.2033230246802,0,0.0077817440032958984
189,52,107,0,368.2444249341528,1350.2295580918935,0,0.008054256439208984
190,55,118,0,365.5697850087159,1340.4225450319582,0,0.008116006851196289
191,58,127,0,368.31987823083455,1104.9596346925036,0,0.008055448532104492
192,61,136,0,368.7732481463029,1106.3197444389086,0,0.008041143417358398
193,63,145,0,245.28810783941051,1103.7964852773473,0,0.008063793182373047
194,66,152,0,365.0818777926072,851.8577148494168,0,0.008129596710205078
195,68,158,0,254.8799222168206,764.6397666504619,0,0.007750034332275391
196,69,163,0,122.9640574611551,614.8202873057754,0,0.008045673370361328
197,71,167,0,245.0230167075593,490.0460334151186,0,0.00807332992553711
198,73,170,0,245.38138419235943,368.07207628853917,0,0.00806570053100586
199,73,173,0,0.0,369.1085948958639,0,0.00804281234741211
200,74,176,0,123.1120373359946,369.3361120079838,0,0.008036375045776367
201,75,177,0,123.42722617856512,123.42722617856512,0,0.008013010025024414
202,75,178,0,0.0,120.84893537326764,0,0.008165121078491211
203,75,178,0,0.0,0.0,0,0.01008749008178711
204,76,178,0,170.07842342159685,0.0,0,0.005802154541015625
205,76,179,0,0.0,122.14403447974607,0,0.008099794387817383
206,76,179,0,0.0,0.0,0,0.010047435760498047
207,77,179,0,164.85747975788067,0.0,0,0.005982160568237305
208,77,177,0,0.0,-247.10896397325243,0,0.00800943374633789
209,77,176,0,0.0,-123.80612787059448,0,0.007992744445800781
210,77,174,0,0.0,-245.82721838002578,0,0.008052587509155273
211,76,172,0,-118.71119664893016,-237.4223932978603,0,0.008339166641235352
212,75,170,0,-122.94243170359948,-245.88486340719896,0,0.008050203323364258
213,74,169,0,-126.40679907175793,-126.40679907175793,0,0.007820367813110352
214,74,168,0,0.0,-120.64384743715124,0,0.008203983306884766
215,73,166,0,-123.90121706250738,-247.80243412501477,0,0.007986307144165039
216,73,165,0,0.0,-122.98569082805535,0,0.008048057556152344
217,73,164,0,0.0,-122.91000732600733,0,0.00803232192993164
218,73,164,0,0.0,0.0,0,0.010091543197631836
219,72,164,0,-170.56256353950633,0.0,0,0.00579380989074707
220,72,164,0,0.0,0.0,0,0.010148048400878906
221,72,164,0,0.0,0.0,0,0.010166645050048828
222,72,164,0,0.0,0.0,0,0.01012277603149414
223,72,165,0,0.0,101.64067270876751,0,0.009752511978149414
224,72,165,0,0.0,0.0,0,0.010037899017333984
225,72,166,0,0.0,156.91960043398555,0,0.006289958953857422
226,72,167,0,0.0,123.34737089754147,0,0.007998466491699219
227,73,167,0,123.39454561501574,0.0,0,0.008021831512451172
228,73,168,0,0.0,122.68710328487437,0,0.008069515228271484
229,73,169,0,0.0,127.91021926748193,0,0.007729768753051758
230,73,169,0,0.0,0.0,0,0.010327577590942383
231,73,170,0,0.0,163.2660179057999,0,0.006040096282958984
232,74,171,0,123.40543721313405,123.40543721313405,0,0.008015871047973633
233,74,171,0,0.0,0.0,0,0.010104179382324219
234,75,171,0,163.73127220205333,0.0,0,0.005999088287353516
235,75,172,0,0.0,128.12512218963832,0,0.007720470428466797
236,75,172,0,0.0,0.0,0,0.01036691665649414
237,75,172,0,0.0,0.0,0,0.01008915901184082
